time_step, Axon_0, Axon_1, Axon_2, Axon_3, Axon_4, Axon_5, Axon_6, Axon_7, Axon_8, Axon_9, Axon_10, Axon_11, Axon_12, Axon_13, Axon_14, Axon_15, Axon_16, Axon_17, Axon_18, Axon_19, Axon_20, Axon_21, Axon_22, Axon_23, Axon_24, Axon_25, Axon_26, Axon_27, Axon_28, Axon_29, Axon_30, Axon_31, Axon_32, Axon_33, Axon_34, Axon_35, Axon_36, Axon_37, Axon_38, Axon_39, Axon_40, Axon_41, Axon_42, Axon_43, Axon_44, Axon_45, Axon_46, Axon_47, Axon_48, Axon_49, Axon_50, Axon_51, Axon_52, Axon_53, Axon_54, Axon_55, Axon_56, Axon_57, Axon_58, Axon_59, Axon_60, Axon_61, Axon_62, Axon_63, Axon_64, Axon_65, Axon_66, Axon_67, Axon_68, Axon_69, Axon_70, Axon_71, Axon_72, Axon_73, Axon_74, Axon_75, Axon_76, Axon_77, Axon_78, Axon_79, Axon_80, Axon_81, Axon_82, Axon_83, Axon_84, Axon_85, Axon_86, Axon_87, Axon_88, Axon_89, Axon_90, Axon_91, Axon_92, Axon_93, Axon_94, Axon_95, Axon_96, Axon_97, Axon_98, Axon_99, Axon_100, Axon_101, Axon_102, Axon_103, Axon_104, Axon_105, Axon_106, Axon_107, Axon_108, Axon_109, Axon_110, Axon_111, Axon_112, Axon_113, Axon_114, Axon_115, Axon_116, Axon_117, Axon_118, Axon_119, Axon_120, Axon_121, Axon_122, Axon_123, Axon_124, Axon_125, Axon_126, Axon_127, Axon_128, Axon_129, Axon_130, Axon_131, Axon_132, Axon_133, Axon_134, Axon_135, Axon_136, Axon_137, Axon_138, Axon_139, Axon_140, Axon_141, Axon_142, Axon_143, Axon_144, Axon_145, Axon_146, Axon_147, Axon_148, Axon_149, Axon_150, Axon_151, Axon_152, Axon_153, Axon_154, Axon_155, Axon_156, Axon_157, Axon_158, Axon_159, Axon_160, Axon_161, Axon_162, Axon_163, Axon_164, Axon_165, Axon_166, Axon_167, Axon_168, Axon_169, Axon_170, Axon_171, Axon_172, Axon_173, Axon_174, Axon_175, Axon_176, Axon_177, Axon_178, Axon_179, Axon_180, Axon_181, Axon_182, Axon_183, Axon_184, Axon_185, Axon_186, Axon_187, Axon_188, Axon_189, Axon_190, Axon_191, Axon_192, Axon_193, Axon_194, Axon_195, Axon_196, Axon_197, Axon_198, Axon_199, Axon_200, Axon_201, Axon_202, Axon_203, Axon_204, Axon_205, Axon_206, Axon_207, Axon_208, Axon_209, Axon_210, Axon_211, Axon_212, Axon_213, Axon_214, Axon_215, Axon_216, Axon_217, Axon_218, Axon_219, Axon_220, Axon_221, Axon_222, Axon_223, Axon_224, Axon_225, Axon_226, Axon_227, Axon_228, Axon_229, Axon_230, Axon_231, Axon_232, Axon_233, Axon_234, Axon_235, Axon_236, Axon_237, Axon_238, Axon_239, Axon_240, Axon_241, Axon_242, Axon_243, Axon_244, Axon_245, Axon_246, Axon_247, Axon_248, Axon_249, Axon_250, Axon_251, Axon_252, Axon_253, Axon_254, Axon_255
11, , ,1,1,1, , ,1, ,1, , , , ,1, , , ,1, ,1, , , , ,1, , , , , , ,1, , ,1, ,1, , , ,1,1,1, , , ,1, , ,1,1, ,1, , , , ,1, ,1,1, , , , , , , ,1,1, , , ,1,1, , ,1,1, , , ,1,1, , , ,1, , , ,1,1, , , ,1, , , , , ,1,1,1, , , , , ,1, , , , ,1, , , ,1, , , , ,1, , , , , , , , , , ,1, , , ,1, , ,1,1,1,1,1,1, , , , , , ,1,1, ,1, ,1, ,1, ,1,1, ,1, , , , ,1, , , , ,1, , , ,1, ,1, ,1,1, ,1, , , , ,1, , , , , , , , , , , , , , , ,1, , , ,1, ,1, , , , , , , , ,1,1, , ,1, , , , , , ,1,1, , ,1,1, , , , , ,1, , , ,1, , , ,1, 
12, , , , , , , , , , ,1, , ,1, ,1,1,1,1, ,1, , , , ,1,1, , ,1, , ,1, , , ,1, , , ,1, , , , , , , , , , ,1, , , , , , ,1, , , , ,1, , , ,1,1, , ,1, , , , ,1, , , , , , , ,1, , ,1, ,1, , , , , , ,1, , , ,1,1, , ,1, , ,1,1, , ,1, , ,1, , , ,1, , ,1, , , , ,1,1, , , , , ,1,1,1, , , ,1, , , , , ,1,1, , , , , ,1, ,1, , , ,1, , , , ,1, , , ,1, ,1, ,1,1, , , , , , , , , ,1,1, , , , , , ,1, , ,1, , , , , , , ,1,1, , , ,1, , , , , ,1,1, , ,1, , , , , , ,1,1,1, , , ,1, , , ,1, , ,1, , ,1,1, , , ,1, , , , , , , , ,1, ,1
13, , , , , , , , , ,1, , , , , , , , , , , , ,1,1, ,1, , , , , , ,1, , ,1, , , , , ,1, , ,1,1, , , , ,1,1,1, , , , ,1, , , , , ,1, , , , , , , , , , ,1, ,1, ,1, ,1, , ,1,1, , , , , , , , , ,1, , ,1, , , , , , ,1, , , , , , ,1, ,1,1, ,1, ,1,1, ,1, , ,1,1, , , , ,1, , ,1,1, , ,1, ,1,1, , , ,1, , , ,1,1, ,1,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, , , , ,1, , , , ,1,1,1,1, , , , , ,1,1, ,1, ,1, , , , , , , , , ,1,1, , , , ,1, ,1,1,1, ,1, , , , , ,1, ,1, , ,1, , , ,1, , 
14, , , , ,1, ,1, , , , , , , , , , , ,1,1,1, ,1,1,1, ,1, ,1, , , , , , ,1,1,1, ,1,1,1,1, ,1, , ,1, , , , ,1, , , , , , ,1, ,1,1, , , , , ,1, , , , ,1, , ,1, , , , , , ,1, , , , , , , , , , , ,1, ,1, ,1, , , , , ,1, ,1,1,1, , , ,1, , ,1, ,1, , , ,1, , , , , , , ,1, ,1, , , , , , , ,1,1,1, , , , ,1,1, ,1,1, , , , , , , , , , , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , , ,1, , , ,1,1,1,1, , , , , ,1, , , , , , , ,1,1,1, , , , ,1, , , ,1, , , , ,1,1, ,1, , , ,1,1, , , , , ,1,1,1, , ,1, , , ,1, , ,1, , , , , , ,1
15, , , , ,1, , , , ,1,1,1,1, , ,1, , , , , , , , , , ,1,1,1, , , ,1, , , ,1, ,1, ,1, , , , , ,1, , ,1, , , , ,1, , ,1, ,1,1,1, ,1,1,1,1,1,1,1, , , ,1,1, ,1, ,1, , , , , , ,1, ,1, , , , , ,1, , , , , ,1,1,1, ,1, , , , , , , , , , ,1,1, , ,1,1, ,1, , ,1, , , ,1, , , , ,1, , , ,1, ,1, , , , , , , ,1, ,1, , , , ,1,1, , ,1, , , , ,1, ,1,1,1, , , ,1, , ,1,1, , , , , , , , ,1,1, ,1, , , ,1, , , , ,1,1, , ,1,1,1, ,1, , ,1, ,1,1,1, ,1, , , , , , , ,1,1, , ,1, ,1, , ,1, , , ,1,1,1,1,1, , ,1,1, ,1, , , , , , , , , , ,1
16,1, ,1,1,1, ,1,1, , , , ,1, , ,1, , , , ,1, ,1, , , , ,1,1, , , , , , ,1, , , , , , , , ,1, , , , ,1,1, , , ,1,1,1, , , , , ,1, , ,1, ,1, , , , , ,1, , , , , , , , , , ,1, ,1, , , , , ,1, ,1, , ,1,1, , , , , ,1,1, , , , , ,1, , ,1, , ,1, ,1,1,1, , , ,1,1, ,1, , , ,1, , , ,1, ,1, , ,1,1,1, , ,1,1, ,1, ,1,1,1,1,1,1, , ,1,1,1,1,1,1, ,1, , , , , , , ,1, , , , ,1, , ,1,1,1, ,1, ,1, , , , ,1, , , , , , , ,1, , , , , , ,1, , , ,1,1, , ,1, ,1,1,1, , ,1, ,1,1,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , ,1, , , 
17, , , , , , , ,1, , ,1,1,1,1, , ,1, ,1, , , , ,1, , ,1,1,1, , ,1,1, , , , ,1,1, ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , ,1, , , ,1, ,1,1, , ,1, , ,1, , , , , ,1, , ,1, ,1, , , ,1, , , , , ,1, ,1, , , , ,1,1, , , , , , , ,1, , ,1, , , , , ,1,1,1, ,1, , ,1, ,1,1, , , , , , , , , , ,1,1,1,1, , , , ,1,1, ,1, , , , , , ,1, , , , , , ,1,1, ,1, , , ,1,1,1, , ,1, , ,1, , , , , ,1, , ,1, , , , , , , , , , , ,1, ,1,1, ,1,1, ,1, , ,1, , ,1, , , , ,1, , ,1,1, ,1, ,1, ,1, ,1, , , , , 
18, , , , ,1,1, ,1, , , , , , , ,1,1, , , , ,1, , ,1,1,1, , , ,1, , , ,1,1, , , , ,1, , , ,1, , , , , , ,1, , , , , , ,1, , , ,1,1,1,1,1, , , , ,1,1,1, , , , , ,1, ,1,1, ,1,1,1, , ,1,1, ,1, , ,1, , , ,1, , ,1, ,1,1, ,1, , , , , , , ,1, , , , , ,1,1, ,1, ,1, , , ,1,1,1, , , , , , ,1, , , , , , ,1, , , , ,1, , , , , , , , , , , , , ,1,1, , ,1, , ,1, , , ,1, , , , , ,1, , , , , , , ,1,1, , ,1, , , , ,1, ,1, , ,1, , , , ,1,1, , ,1, , ,1,1, , , ,1, , , ,1, , , , ,1,1, , , ,1, , , ,1,1, , ,1,1, ,1, , , , , , , , , 
19,1, ,1,1, , , ,1,1, , , , ,1,1, , , , , ,1, , , , ,1,1, ,1, ,1, , , , , , , , , , , , , , ,1, , ,1, ,1,1, , , , , , , , , , , , , ,1,1,1, , , , , , , , , ,1, , ,1, , ,1, , , , , ,1, ,1, , ,1, , , ,1,1,1, ,1,1, ,1,1, , , , , , , ,1, , , ,1, , , ,1,1, ,1, , , , ,1,1, ,1, , ,1,1,1,1, , ,1,1, , ,1, , ,1, , , ,1, ,1, ,1,1,1,1, ,1, , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , ,1, , , ,1, , , ,1, ,1, , , , , , , , ,1,1, , , , , , , , , , , ,1, ,1, , , ,1,1,1,1, , , , , , , ,1, , ,1, ,1, , , , , , ,1,1,1,1, 
20, ,1, ,1, , , ,1, , ,1,1, ,1, ,1,1, , , , , , , , , ,1, ,1, ,1, , , , , , ,1, , , , ,1, ,1, ,1, , ,1, ,1, , , ,1,1, ,1, ,1,1, , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , ,1, ,1, , ,1, , , , , , ,1,1, , , ,1, ,1,1, , , ,1,1, , ,1, , , , , , , , , ,1, , , ,1,1, , , , ,1, ,1,1, , ,1, , , ,1, , , , ,1,1,1, , ,1, , ,1, , , , , , , , ,1, ,1, ,1, , ,1, , , , , , ,1,1, , ,1,1, ,1,1, ,1, , , ,1, , ,1, , , , , , , , , , ,1, , , ,1, , , ,1, , ,1, , , ,1, , , , ,1, , , ,1, , , , , , , , ,1, ,1, , ,1,1,1, , 
21,1,1,1,1, , , , ,1, , ,1, , ,1, , ,1, ,1,1, , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , ,1, , , , , , , , , , ,1,1, , , , ,1, ,1, , , , ,1, ,1,1, , , ,1,1, ,1, ,1, , , ,1, , , , , ,1, , , , , , , , ,1,1, ,1, ,1, , , ,1, , ,1, ,1,1, ,1, , , , , , ,1,1,1,1, , , ,1, ,1, , ,1, ,1, ,1, , , , , , , ,1, , , , ,1, , , ,1,1, , ,1,1, , , ,1,1,1, ,1, , , , , ,1, , , ,1, ,1,1,1,1, ,1, , , , ,1,1, , , , , , , , ,1,1,1, , , ,1, , , , ,1, , ,1, , , , , , , , , ,1, , , , ,1, ,1, , ,1, , , , , , , , , , , ,1, 
22, ,1, , , , ,1,1,1, , , , , , , ,1, , , , , ,1, , , ,1, , , , , , ,1, ,1, ,1,1, , , ,1, , , , , ,1, , , , , , , ,1, , , ,1, , , , , , ,1,1, , , , ,1, , ,1, ,1, , , , , , , , ,1, ,1, ,1, ,1, , , , , , , , ,1, ,1, , , , , , , ,1, ,1, , , , , , , , ,1, , ,1, , , ,1, , ,1, , , ,1, , , ,1,1, ,1, , ,1,1,1, , , , , , , ,1,1, , , , ,1, , , , ,1, ,1,1,1, , , ,1, , , , ,1, ,1, , , , , , ,1, ,1,1, , , , ,1, , , ,1, ,1, ,1, , ,1, , , , , , , , , ,1,1, , ,1, , ,1,1, , ,1,1,1, , , , , ,1, , , , ,1, , ,1, , , ,1, , , , ,1
23,1, , , , ,1,1, , ,1,1, , , , ,1, , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , , , , , , , ,1, , , , , ,1,1, , , ,1, , , , , , ,1,1, , , ,1, ,1,1,1,1, , , ,1, , ,1, , , ,1,1, , , , , , , , ,1, ,1, ,1, , , ,1, , ,1, , , , ,1, , ,1, , ,1,1,1,1,1, , , , , , ,1, , , ,1, , , , ,1, ,1, , ,1, , , , , ,1, , , , , , , , , ,1,1,1, , , , , ,1, ,1,1, , , , , , ,1, , ,1,1, ,1,1, ,1, , ,1, , , , , , ,1, , , ,1, , , , , , , ,1, , ,1, , ,1, , , , , , , , ,1,1, ,1, , , ,1, ,1,1,1, ,1, ,1,1, ,1, , , , , , , , ,1,1, , , 
24, ,1,1,1, , , , , , ,1, , , , , , , , ,1,1, , , ,1, ,1, , , , ,1, ,1, ,1, ,1, , , , , ,1, , , , , , ,1,1, , , , ,1,1,1, , , ,1, ,1, ,1,1, , , , , ,1, , , ,1, , , , , , , ,1, ,1, , , , , , ,1, , , , ,1, , , , , , ,1, ,1, , ,1, , , , , , ,1, ,1, , , ,1,1, ,1,1, , , , , , , , , ,1, ,1,1, ,1, , ,1, , , , , , ,1,1, , , , , ,1, , , ,1, , ,1, , , ,1, , , , , , , , ,1, , , ,1,1,1, , ,1, ,1,1, ,1, , , ,1, , , , , ,1, ,1, , ,1, , , , , , , , , ,1, , ,1,1, , , , , , , , , ,1,1, ,1,1,1,1, ,1, , , , , ,1, , , , ,1,1, ,1
25,1, ,1, ,1, ,1, ,1,1,1,1, , ,1,1,1,1, , , ,1, , , , ,1,1, , , , , , , , , , , ,1, ,1, ,1, , , , ,1, ,1,1, , , , , , , , , , ,1,1,1,1, , , , , , ,1,1, , ,1, , , , , , ,1,1, , , , , , , , , ,1,1, , , , , , ,1,1, , , , ,1,1, , ,1, ,1, , , , ,1,1, , , , , ,1,1, , , , ,1, , , , , , , , , ,1, ,1, , , , ,1, , , ,1,1,1, ,1, , , , , ,1, , , , ,1,1, , ,1, ,1,1, , ,1, ,1, ,1, ,1, ,1, , , ,1, , , , , , , , , , , , , , , , , , ,1,1,1, ,1, , , , , , , , , , , , , , , , , , , ,1, , , , , ,1,1, , , , , ,1, , , , , ,1,1,1, 
26,1, , , ,1,1, , , , ,1,1, , , , ,1,1, ,1, , ,1, ,1, ,1,1, , ,1, ,1, , ,1, ,1,1, , , , ,1,1,1, ,1, , , ,1, , , , ,1, , , ,1, , ,1, , , , ,1, , , ,1, , ,1,1,1, ,1, ,1,1, , ,1, , , , , ,1, , , , ,1,1,1, , , , ,1, , , , ,1,1,1, , , , , , , , , ,1,1, ,1, , , ,1, , , , , ,1, , , , , , , , ,1, ,1, , , ,1,1, , , ,1, , , , ,1, ,1,1, , , , , , , , , , , , , , ,1,1, ,1,1,1, , ,1,1, ,1,1, ,1, , ,1, ,1,1, , ,1, , , , , , , , ,1,1,1, , , ,1, ,1,1, , , , , , ,1, , ,1, , ,1, , , , ,1, ,1, , , , ,1, , , ,1, , , , ,1, ,1, , 
27, , , , , ,1,1,1, ,1, , ,1,1, ,1, , ,1, ,1,1, , , , , , , , , , ,1, , ,1, ,1, ,1,1, , ,1,1, , , ,1,1, , , , , , , , , ,1, ,1,1, , , , , , , , , , ,1,1, ,1, , , ,1, , ,1, , , , , , , ,1,1,1, , ,1,1, ,1,1, , , , , , , , , , ,1, , , ,1, , ,1, , ,1, , , , ,1, ,1,1,1, , , , , , , ,1,1,1, , , , ,1, ,1,1,1, ,1, , , , , , ,1, ,1, , , ,1, , , ,1,1,1, , , , , ,1, , ,1, , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, ,1,1, , , , , , , ,1, , ,1, , , ,1, ,1,1, ,1, ,1,1, , , , , , , , , ,1, , , , , , , ,1
28, , , , , , , , , , , , , ,1, , , , , , ,1, ,1,1,1,1,1, ,1, , , , , , , , , ,1,1,1, , , , , , ,1, ,1,1, , , ,1, , ,1, , ,1, , , , ,1,1, , ,1,1, , , , ,1, ,1, ,1, , , , ,1, ,1,1, , , , , ,1, ,1, , ,1, , , , , ,1, ,1, , ,1, , , ,1, , , , , ,1, , , , ,1, , , , , , ,1, , , , , ,1, , ,1, , , ,1, ,1, , ,1, ,1, , , ,1, , ,1, , , , ,1, , ,1,1,1, ,1, , , , , , , ,1,1,1, ,1,1,1, ,1,1, , , ,1, ,1,1, , ,1, ,1,1,1, ,1, , , , , , , ,1, , , , ,1, ,1, , , ,1, , , , , , , , , , , , ,1, , ,1, ,1, ,1, , , , , , , , ,1,1, , ,1
